pmax_AM,pmax_LM,sum_negll
0.07,0.81,227.977
0.07,0.82,228.549
0.07,0.83,229.301
0.07,0.84,229.209
0.07,0.85,228.398
0.07,0.86,230.429
0.07,0.87,228.714
0.07,0.88,230.284
0.07,0.89,228.869
0.07,0.9,229.883
0.07,0.91,229.651
0.07,0.92,229.735
0.07,0.93,228.497
0.07,0.94,229.617
0.07,0.95,229.283
0.07,0.96,229.12
0.07,0.97,227.966
0.07,0.98,229.916
0.07,0.99,228.889
0.08,0,253.558
0.08,0.01,253.035
0.08,0.02,257.374
0.08,0.03,271.612
0.08,0.04,271.746
0.08,0.05,272.076
0.08,0.06,288.713
0.08,0.07,287.349
0.08,0.08,248.56
0.08,0.09,223.745
0.08,0.1,215.846
0.08,0.11,207.576
0.08,0.12,207.964
0.08,0.13,218.832
0.08,0.14,219.549
0.08,0.15,205.391
0.08,0.16,232.99
0.08,0.17,216.452
0.08,0.18,229.013
0.08,0.19,228.109
0.08,0.2,229.826
0.08,0.21,228.765
0.08,0.22,227.987
0.08,0.23,228.725
0.08,0.24,229.675
0.08,0.25,228.417
0.08,0.26,229.202
0.08,0.27,229.42
0.08,0.28,228.765
0.08,0.29,228.852
0.08,0.3,229.377
0.08,0.31,228.326
0.08,0.32,228.88
0.08,0.33,228.921
0.08,0.34,229.745
0.08,0.35,228.693
0.08,0.36,229.748
0.08,0.37,228.099
0.08,0.38,228.996
0.08,0.39,229.006
0.08,0.4,228.631
0.08,0.41,230.578
0.08,0.42,228.404
0.08,0.43,228.436
0.08,0.44,229.475
0.08,0.45,229.957
0.08,0.46,229.938
0.08,0.47,229.894
0.08,0.48,228.469
0.08,0.49,229.464
0.08,0.5,228.275
0.08,0.51,231.065
0.08,0.52,229.588
0.08,0.53,230.874
0.08,0.54,228.13
0.08,0.55,229.291
0.08,0.56,230.568
0.08,0.57,228.415
0.08,0.58,228.714
0.08,0.59,228.581
0.08,0.6,229.52
0.08,0.61,228.559
0.08,0.62,229.811
0.08,0.63,228.827
0.08,0.64,229.162
0.08,0.65,229.147
0.08,0.66,228.265
0.08,0.67,230.881
0.08,0.68,228.201
0.08,0.69,229.19
0.08,0.7,229.193
0.08,0.71,228.415
0.08,0.72,228.276
0.08,0.73,229.6
0.08,0.74,228.408
0.08,0.75,229.392
0.08,0.76,229.755
0.08,0.77,228.486
0.08,0.78,230.409
0.08,0.79,228.404
0.08,0.8,228.058
0.08,0.81,229.086
0.08,0.82,229.158
0.08,0.83,229.622
0.08,0.84,229.89
0.08,0.85,228.058
0.08,0.86,227.966
0.08,0.87,228.985
0.08,0.88,229.758
0.08,0.89,228.454
0.08,0.9,228.69
0.08,0.91,228.985
0.08,0.92,227.977
0.08,0.93,229.42
0.08,0.94,228.297
0.08,0.95,228.426
0.08,0.96,229.905
0.08,0.97,229.196
0.08,0.98,228.352
0.08,0.99,229.617
0.09,0,249.597
0.09,0.01,251.613
0.09,0.02,260.748
0.09,0.03,264.437
0.09,0.04,276.966
0.09,0.05,277.891
0.09,0.06,286.372
0.09,0.07,284.506
0.09,0.08,243.667
0.09,0.09,233.807
0.09,0.1,222.959
0.09,0.11,234.97
0.09,0.12,216.597
0.09,0.13,217.514
0.09,0.14,215.724
0.09,0.15,215.896
0.09,0.16,228.934
0.09,0.17,218.637
0.09,0.18,228.62
0.09,0.19,228.912
0.09,0.2,229.436
0.09,0.21,228.603
0.09,0.22,228.728
0.09,0.23,228.636
0.09,0.24,228.099
0.09,0.25,230.626
0.09,0.26,230.818
0.09,0.27,228.714
0.09,0.28,230.27
0.09,0.29,229.899
0.09,0.3,230.037
0.09,0.31,229.147
0.09,0.32,228.714
0.09,0.33,229.719
0.09,0.34,230.194
0.09,0.35,230.517
0.09,0.36,229.147
0.09,0.37,228.728
0.09,0.38,228.803
0.09,0.39,228.486
0.09,0.4,230.854
0.09,0.41,229.294
0.09,0.42,229.028
0.09,0.43,228.444
0.09,0.44,231.047
0.09,0.45,229.154
0.09,0.46,229.492
0.09,0.47,229.235
0.09,0.48,228.404
0.09,0.49,229.611
0.09,0.5,228.61
0.09,0.51,228.286
0.09,0.52,231.195
0.09,0.53,228.446
0.09,0.54,228.408
0.09,0.55,229.12
0.09,0.56,228.704
0.09,0.57,229.6
0.09,0.58,228.773
0.09,0.59,230.36
0.09,0.6,228.845
0.09,0.61,228.037
0.09,0.62,229.452
0.09,0.63,229.283
0.09,0.64,229.755
0.09,0.65,228.475
0.09,0.66,228.602
0.09,0.67,229.431
0.09,0.68,229.653
0.09,0.69,229.968
0.09,0.7,229.464
0.09,0.71,228.265
0.09,0.72,229.147
0.09,0.73,228.008
0.09,0.74,230.215
0.09,0.75,228.923
0.09,0.76,228.934
0.09,0.77,229.6
0.09,0.78,228.141
0.09,0.79,228.575
0.09,0.8,228.469
0.09,0.81,227.998
0.09,0.82,229.647
0.09,0.83,229.578
0.09,0.84,227.987
0.09,0.85,229.475
0.09,0.86,228.907
0.09,0.87,228.884
0.09,0.88,228.838
0.09,0.89,229.339
0.09,0.9,228.722
0.09,0.91,228.581
0.09,0.92,229.277
0.09,0.93,228.945
0.09,0.94,230.111
0.09,0.95,228.693
0.09,0.96,228.18
0.09,0.97,229.311
0.09,0.98,228.57
0.09,0.99,230.342
0.1,0,251.704
0.1,0.01,252.693
0.1,0.02,260.052
0.1,0.03,264.368
0.1,0.04,273.925
0.1,0.05,280.443
0.1,0.06,287.089
0.1,0.07,293.497
0.1,0.08,259.078
0.1,0.09,251.573
0.1,0.1,219.027
0.1,0.11,212.585
0.1,0.12,203.999
0.1,0.13,217.034
0.1,0.14,216.909
0.1,0.15,229.26
0.1,0.16,203.381
0.1,0.17,230.622
0.1,0.18,229.36
0.1,0.19,229.963
0.1,0.2,229.492
0.1,0.21,228.848
0.1,0.22,228.714
0.1,0.23,229.825
0.1,0.24,228.747
0.1,0.25,229.049
0.1,0.26,230.621
0.1,0.27,230.33
0.1,0.28,229.162
0.1,0.29,228.522
0.1,0.3,228.879
0.1,0.31,229.464
0.1,0.32,228.693
0.1,0.33,228.924
0.1,0.34,229.006
0.1,0.35,229.589
